Company Name,Market Category,GitHub Link,Seed Date,Seed Amount,Seed Ext Date,Seed Ext Amount,Series A Date,Series A Amount,Series A Bridge Date,Series A Bridge Amount,Series B Date,Series B Amount,Series B-1 Date,Series B-1 Amount,Series C Date,Series C Amount,Series D Date,Series D Amount,Series E Date,Series E Amount,Series F Date,Series F Amount,Series G Date,Series G Amount,Exit State,Exit Date
Airbyte,Data Platform & Analytics,https://github.com/airbytehq/airbyte,3/1/20,$5M,,,5/1/21,$26M,,,12/1/21,$150M,,,,,,,,,,,,,none,
Alluxio,Data Platform & Analytics,https://github.com/Alluxio/alluxio,,,,,3/17/15,$7.5M,,,1/18/19,$8.5M,4/16/20,$7M,11/16/21,$50M,,,,,,,,,none,
Appsmith,Developer Tools & DevOps,https://github.com/appsmithorg/appsmith,3/1/20,$2.5M,,,10/1/21,$8M,,,6/1/22,$41M,,,,,,,,,,,,,none,
Appwrite,Developer Tools & DevOps,https://github.com/appwrite/appwrite,3/1/21,$10M,,,4/1/22,$27M,,,,,,,,,,,,,,,,,none,
ArangoDB,Database & Storage,https://github.com/arangodb/arangodb,2/10/15,$1.9M,11/24/16,$2.2M,3/14/19,$10M,,,10/6/21,$27.8M,,,,,,,,,,,,,none,
Balena,Developer Tools & DevOps,https://github.com/balena-io/etcher,,,,,4/14/15,$3M,6/27/16,$9M,7/24/19,$14.4M,,,,,,,,,,,,,none,
Bit,Developer Tools & DevOps,https://github.com/teambit/bit,3/1/15,$0.9M,,,2/1/19,$10.1M,,,11/1/21,$25M,,,,,,,,,,,,,none,
Builder.io,Business & Application Software,https://github.com/BuilderIO/builder,3/1/20,$3.3M,,,10/1/21,$14M,,,4/1/24,$20M,,,,,,,,,,,,,none,
Cloud9 IDE,Developer Tools & DevOps,https://github.com/c9/core,3/7/11,$0.75M,,,6/1/11,$5.6M,,,11/1/14,$3.1M,,,,,,,,,,,,,acquired,7/14/16
Cockroach Labs,Database & Storage,https://github.com/cockroachdb/cockroach,6/3/15,$6.25M,,,3/1/16,$20M,,,6/27/17,$27M,,,8/6/19,$55M,5/5/20,$160M,1/12/21,$160M,12/16/21,$278M,,,none,
Convex,Developer Tools & DevOps,https://github.com/get-convex/convex-backend,11/2/21,$3.5M,,,4/27/22,$26M,,,,,,,,,,,,,,,,,none,
Crate.io,Database & Storage,https://github.com/crate/crate,11/1/15,$2.8M,7/1/16,$2.7M,6/1/18,$11M,10/1/20,$14M,,,,,,,,,,,,,,,none,
CrowdSec,Security,https://github.com/crowdsecurity/crowdsec,3/1/20,$2M,,,10/1/22,$14M,,,,,,,,,,,,,,,,,none,
Dagster,Data Platform & Analytics,https://github.com/dagster-io/dagster,7/12/20,$1.8M,,,11/16/21,$14M,,,3/24/23,$33M,,,,,,,,,,,,,none,
dbt Labs,Data Platform & Analytics,https://github.com/dbt-labs/dbt-core,,,,,4/1/20,$12.9M,,,11/1/20,$29.5M,,,6/1/21,$150M,2/1/22,$222M,,,,,,,none,
Deepset,AI / Machine Learning,https://github.com/deepset-ai/haystack,3/8/21, $1.6M,,,4/28/22, $14M,,,8/9/23, $27M,,,,,,,,,,,,,none,
Dgraph,Database & Storage,https://github.com/dgraph-io/dgraph,3/1/16,$1.1M,12/19/17,$1.9M,7/31/19,$11.5M,7/20/22,$6M,,,,,,,,,,,,,,,none,
Directus,Business & Application Software,https://github.com/directus/directus,7/1/21,$1M,,,11/10/22,$7M,,,,,,,,,,,,,,,,,none,
Discourse,Business & Application Software,https://github.com/discourse/discourse,11/1/12,,,,8/1/21,$20M,,,,,,,,,,,,,,,,,none,
EdgeDB,Database & Storage,https://github.com/geldata/gel,4/1/22,$4M,,,11/1/22,$15M,,,,,,,,,,,,,,,,,none,
Elasticsearch,Database & Storage,https://github.com/elastic/elasticsearch,,,,,11/8/12,$10M,,,2/19/13,$24M,,,6/5/14,$70M,7/1/16,$58M,,,,,,,ipo,10/4/18
Ethyca,Security,https://github.com/ethyca/fides,7/1/19,$4.2M,8/29/19,$2.3M,6/11/20,$13.5M,11/3/21,$7.5M,,,,,,,,,,,,,,,none,
GitLab,Developer Tools & DevOps,https://github.com/gitlabhq/gitlabhq,7/9/15,$1.5M,,,9/15/15,$4M,,,9/27/16,$20M,,,10/10/17,$20M,9/19/18,$100M,9/17/19,$268M,,,,,ipo,10/14/21
Gitpod,Developer Tools & DevOps,https://github.com/gitpod-io/gitpod,10/1/20,$3M,4/1/21,$13M,11/1/22,$25M,,,,,,,,,,,,,,,,,none,
Gradle,Developer Tools & DevOps,https://github.com/gradle/gradle,12/1/15,$4.2M,,,5/25/16,$10.5M,,,10/1/18,$13M,,,11/1/21,$27M,,,,,,,,,none,
Grafana Labs,Developer Tools & DevOps,https://github.com/grafana/grafana,12/3/18,$1.2M,,,10/24/19,$24M,,,8/17/20,$50M,,,8/24/21,$220M,8/27/22,$510M,,,,,,,none,
Harness,Developer Tools & DevOps,https://github.com/harness/harness,,,,,10/24/17,$20M,,,4/24/19,$60M,1/1/20,$30M,1/14/21,$85M,4/12/22,$175M,,,,,,,none,
